fips,state,county,population,pop_density,rural_urban_code,poverty_rate,median_income,unemployment_rate,uninsured_rate,medicaid_rate,physician_office_rate_clean,nurse_practitioner_rate_clean,physician_assistant_rate_clean,fqhc_rate_clean,rhc_rate_clean,dist_clinic_clean,dist_ed_clean,nhsc_provider_rate_clean,hpsa_score,is_hpsa
01001,Alabama,Autauga County,59285,99.73,2,11.7,69841,2.2,7.36,12.04,0.4,0.48,0.08,0.03,0.03,8.96,5.29,0.02,15.0,1
01007,Alabama,Bibb County,22152,35.59,1,19.4,51215,2.5,8.32,20.28,0.32,1.37,0.23,0.41,0.14,3.88,8.34,0.09,17.0,1
01009,Alabama,Blount County,59292,91.94,1,12.8,61096,2.1,10.19,17.0,0.28,0.35,0.02,0.02,0.15,4.04,9.7,0.0,11.0,1
01023,Alabama,Choctaw County,12525,13.71,9,24.8,44483,4.0,8.17,20.16,0.0,0.57,0.0,0.32,0.48,4.8,10.84,0.08,14.0,1
01027,Alabama,Clay County,14188,23.49,9,16.9,51852,2.4,8.42,18.55,0.28,0.43,0.0,0.07,0.0,5.32,6.78,0.07,11.0,1
01029,Alabama,Cleburne County,15254,27.23,8,15.8,53319,2.3,9.25,17.69,0.0,0.26,0.06,0.07,0.13,5.02,6.84,0.0,14.0,1
01037,Alabama,Coosa County,10323,15.86,8,18.2,57063,2.6,7.37,17.69,0.0,0.58,0.0,0.19,0.29,4.88,9.19,0.0,14.0,1
01041,Alabama,Crenshaw County,13144,21.59,8,19.5,49040,2.7,9.17,19.23,0.0,0.84,0.15,0.0,0.23,8.99,9.98,0.0,11.0,1
01051,Alabama,Elmore County,88669,143.36,2,12.5,75553,2.1,7.73,12.26,0.2,0.44,0.04,0.01,0.11,5.01,6.41,0.03,15.0,1
01057,Alabama,Fayette County,16173,25.77,8,16.2,50733,2.9,7.89,21.72,0.31,0.69,0.06,0.06,0.12,4.2,6.88,0.0,11.0,1
01075,Alabama,Lamar County,13809,22.83,8,16.4,47447,2.8,9.04,19.41,0.0,0.66,0.0,0.14,0.58,2.41,7.03,0.0,16.0,1
01111,Alabama,Randolph County,22310,38.43,8,15.9,51551,2.4,8.99,16.06,0.31,0.88,0.09,0.04,0.72,2.72,5.48,0.04,15.0,1
01129,Alabama,Washington County,15270,14.14,8,18.7,60503,2.6,7.75,15.08,0.27,0.73,0.0,0.07,0.26,6.63,10.47,0.07,16.0,1
04001,Arizona,Apache County,65680,5.87,8,29.6,40338,7.9,20.38,40.16,0.12,0.78,0.34,0.05,0.18,17.89,18.88,0.11,15.0,1
04003,Arizona,Cochise County,125458,20.2,3,16.3,58970,4.5,7.99,22.46,0.35,1.17,0.19,0.07,0.17,3.8,6.24,0.06,15.0,1
04005,Arizona,Coconino County,144643,7.77,3,17.8,69748,4.2,10.91,19.03,0.53,1.17,0.57,0.08,0.01,8.57,15.4,0.05,14.0,1
04007,Arizona,Gila County,53610,11.27,4,17.7,59089,4.3,10.02,22.53,0.74,0.59,0.43,0.06,0.21,6.0,6.42,0.09,16.0,1
04009,Arizona,Graham County,38860,8.41,7,17.3,67326,3.7,8.76,23.39,0.23,0.68,0.61,0.05,0.08,7.19,5.04,0.1,14.0,1
04011,Arizona,Greenlee County,9452,5.13,9,9.7,75239,2.9,2.57,7.37,0.0,0.32,0.53,0.32,0.0,2.56,7.81,0.0,18.0,1
04012,Arizona,La Paz County,16605,3.69,6,18.7,49506,4.8,12.9,18.51,0.48,0.66,0.3,0.0,0.48,6.45,19.18,0.0,17.0,1
04013,Arizona,Maricopa County,4491987,488.17,1,11.1,85518,3.4,10.71,15.28,0.82,1.24,0.66,0.01,0.0,3.14,3.06,0.02,16.0,1
04015,Arizona,Mohave County,217420,16.31,3,16.8,55799,4.5,9.69,20.68,0.61,0.8,0.34,0.04,0.01,4.5,6.19,0.08,18.0,1
04017,Arizona,Navajo County,107744,10.83,4,24.7,52752,5.7,15.35,31.22,0.49,0.98,0.43,0.06,0.07,12.73,13.63,0.14,16.0,1
04019,Arizona,Pima County,1049947,114.27,1,14.0,67929,3.8,8.95,18.87,0.68,1.32,0.3,0.06,0.0,2.33,4.15,0.04,16.0,1
04021,Arizona,Pinal County,449219,83.72,1,11.8,77588,4.1,10.14,16.85,0.24,0.62,0.2,0.04,0.01,4.89,5.08,0.05,16.0,1
04023,Arizona,Santa Cruz County,48209,39.0,6,20.1,53614,7.6,14.47,34.49,0.22,0.28,0.08,0.12,0.04,2.25,7.79,0.06,13.0,1
04025,Arizona,Yavapai County,241656,29.75,3,12.8,66106,3.6,10.7,13.93,0.73,1.23,0.41,0.03,0.01,6.71,8.15,0.04,16.0,1
04027,Arizona,Yuma County,207685,37.67,3,15.9,60417,13.2,14.66,27.43,0.49,0.76,0.31,0.04,0.04,4.95,7.36,0.04,16.0,1
05013,Arkansas,Calhoun County,4717,7.5,9,14.3,63654,2.9,9.52,22.17,0.0,1.08,0.0,0.42,0.0,5.55,5.55,0.22,17.0,1
05025,Arkansas,Cleveland County,7491,12.53,8,15.7,50509,3.5,4.9,22.1,0.0,0.54,0.14,0.27,0.27,6.92,15.08,0.27,15.0,1
05053,Arkansas,Grant County,18111,28.66,2,11.1,72512,2.9,6.67,18.27,0.27,0.65,0.05,0.11,0.06,3.61,19.15,0.05,13.0,1
05079,Arkansas,Lincoln County,12966,23.18,9,26.2,51667,4.0,7.89,17.47,0.23,0.85,0.08,0.23,0.08,3.4,16.45,0.23,16.0,1
05087,Arkansas,Madison County,17032,20.42,2,14.8,53888,2.6,12.49,27.63,0.0,0.56,0.0,0.06,0.12,6.41,6.64,0.06,12.0,1
05097,Arkansas,Montgomery County,8571,10.98,8,18.8,49015,4.9,11.2,24.29,0.0,0.7,0.12,0.35,0.23,5.35,26.88,0.0,15.0,1
05133,Arkansas,Sevier County,15797,28.03,6,18.7,51641,3.8,18.88,31.27,0.45,1.73,0.0,0.13,0.0,6.16,5.32,0.0,12.0,1
06003,California,Alpine County,1695,2.3,8,15.6,110781,6.5,5.01,23.13,0.0,0.0,0.0,0.0,0.0,13.8,14.91,0.0,10.0,1
06007,California,Butte County,209470,128.0,3,19.9,68574,5.2,6.35,26.11,0.64,0.98,0.6,0.06,0.15,2.02,2.87,0.03,12.0,1
06009,California,Calaveras County,45995,45.09,6,12.2,79877,4.2,5.27,19.87,0.32,0.24,0.09,0.04,0.15,3.04,12.78,0.02,11.0,1
06015,California,Del Norte County,27293,27.12,7,13.8,66780,5.7,5.87,27.61,0.45,0.38,0.45,0.18,0.11,1.88,4.61,0.04,16.0,1
06017,California,El Dorado County,192299,112.6,1,7.0,106190,4.0,4.0,12.31,0.44,0.44,0.21,0.03,0.03,4.13,6.18,0.03,15.0,1
06021,California,Glenn County,28623,21.78,6,13.5,70487,6.3,8.94,28.58,0.21,0.36,0.32,0.1,0.49,2.64,8.38,0.04,12.0,1
06025,California,Imperial County,179319,42.95,3,17.3,56393,17.3,6.79,44.9,0.49,0.79,0.26,0.05,0.06,2.77,4.77,0.04,15.0,1
06027,California,Inyo County,18803,1.84,6,11.8,72432,3.8,7.14,21.53,0.76,0.92,0.27,0.16,0.27,8.2,8.8,0.0,14.0,1
06029,California,Kern County,910433,111.92,2,19.0,67660,8.3,7.85,35.63,0.56,0.62,0.28,0.05,0.05,1.69,5.3,0.04,16.0,1
06037,California,Los Angeles County,9848406,2426.16,1,13.7,87760,5.0,8.69,26.46,1.1,0.76,0.37,0.04,0.0,1.28,1.85,0.02,14.0,1
06043,California,Mariposa County,17060,11.78,8,17.3,65378,5.1,6.55,20.15,0.53,0.41,0.41,0.12,0.35,7.57,10.67,0.06,14.0,1
06045,California,Mendocino County,90709,25.87,4,13.9,64688,4.7,8.15,31.62,0.45,0.89,0.35,0.2,0.26,3.18,7.31,0.1,9.0,1
06047,California,Merced County,285597,147.37,2,18.6,65044,9.0,8.95,38.29,0.44,0.47,0.25,0.06,0.11,1.37,3.13,0.04,12.0,1
06061,California,Placer County,412435,293.12,1,6.5,114678,3.7,3.38,10.97,0.71,0.57,0.36,0.02,0.01,3.77,4.9,0.0,15.0,1
06063,California,Plumas County,19607,7.68,9,12.7,64946,7.3,5.03,23.38,0.0,0.42,0.26,0.1,0.61,2.17,3.56,0.0,15.0,1
06071,California,San Bernardino County,2187816,109.02,1,13.2,82184,4.7,8.46,29.03,0.58,0.61,0.43,0.02,0.01,2.63,3.96,0.01,15.0,1
06089,California,Shasta County,181554,48.09,3,13.2,71931,5.1,6.7,23.73,0.79,0.81,0.73,0.1,0.1,2.67,5.94,0.07,12.0,1
06093,California,Siskiyou County,43834,6.98,7,17.1,55499,6.4,6.42,25.65,0.58,0.63,0.44,0.18,0.5,3.08,10.67,0.19,16.0,1
06105,California,Trinity County,15886,5.0,8,20.8,53498,5.7,12.41,31.92,0.19,0.45,0.45,0.13,0.31,7.41,13.24,0.26,15.0,1
06107,California,Tulare County,475774,98.63,2,17.5,69489,10.0,8.01,41.86,0.63,0.58,0.42,0.13,0.15,1.43,3.56,0.07,14.0,1
08007,Colorado,Archuleta County,13730,10.17,7,11.2,76524,3.2,11.51,17.11,0.0,0.92,0.28,0.07,0.15,5.13,5.23,0.07,11.0,1
08009,Colorado,Baca County,3460,1.35,9,20.2,40380,2.0,7.7,34.39,0.0,1.5,0.3,0.0,0.58,5.23,5.18,0.0,21.0,1
08017,Colorado,Cheyenne County,1732,0.97,9,13.3,67768,2.1,8.04,19.75,0.0,1.74,0.0,0.0,1.15,6.24,6.22,0.0,11.0,1
08019,Colorado,Clear Creek County,9358,23.69,1,7.7,96667,2.8,6.86,7.46,0.0,0.0,0.22,0.11,0.11,4.4,19.6,0.0,17.0,1
08021,Colorado,Conejos County,7536,5.85,9,18.1,47209,3.3,13.53,34.45,0.4,0.53,0.27,0.13,0.4,3.37,5.44,0.53,17.0,1
08023,Colorado,Costilla County,3571,2.91,9,22.6,36519,4.4,8.31,35.48,0.0,0.28,0.0,0.28,0.28,15.47,26.89,0.55,22.0,1
08027,Colorado,Custer County,5073,6.87,8,11.8,72700,3.2,7.84,14.42,0.0,1.45,0.0,0.0,0.39,4.76,22.93,0.0,14.0,1
08033,Colorado,Dolores County,2385,2.23,9,13.5,70490,2.9,6.71,14.97,0.0,0.0,0.4,0.84,0.42,8.57,28.44,0.0,17.0,1
08047,Colorado,Gilpin County,5877,39.17,1,7.2,88654,2.7,7.42,14.45,0.0,0.17,0.0,0.34,0.17,1.76,15.05,0.0,16.0,1
08051,Colorado,Gunnison County,17158,5.3,7,10.7,77358,2.6,6.16,13.57,0.75,0.58,0.69,0.0,0.06,8.35,8.92,0.12,12.0,1
08065,Colorado,Lake County,7411,19.66,9,11.4,93655,2.5,13.33,12.4,0.0,0.41,1.09,0.13,0.4,0.81,0.84,0.14,16.0,1
08069,Colorado,Larimer County,363561,140.06,2,10.2,91364,2.8,5.71,12.19,0.58,0.9,0.81,0.01,0.01,3.83,3.99,0.01,11.0,1
08079,Colorado,Mineral County,799,0.91,9,9.7,52455,2.5,15.58,12.19,0.0,1.06,2.12,0.0,1.25,4.76,33.39,0.0,7.0,1
08093,Colorado,Park County,17739,8.09,1,8.1,95450,2.8,7.01,11.8,0.0,0.22,0.0,0.23,0.11,7.21,23.79,0.06,16.0,1
08103,Colorado,Rio Blanco County,6518,2.02,9,10.8,72620,3.3,9.64,18.88,0.0,0.61,0.76,0.0,0.92,0.75,0.66,0.0,16.0,1
08107,Colorado,Routt County,24990,10.58,7,5.6,104803,2.5,8.02,10.58,1.36,0.84,0.96,0.08,0.0,5.14,7.24,0.08,11.0,1
08111,Colorado,San Juan County,690,1.78,9,12.3,73889,2.6,12.46,10.43,0.0,0.0,0.0,0.0,0.0,12.19,35.79,0.0,7.0,1
08119,Colorado,Teller County,24774,44.47,2,8.3,80666,3.0,6.99,15.78,0.49,0.61,0.28,0.12,0.04,4.95,6.61,0.04,20.0,1
08121,Colorado,Washington County,4839,1.92,9,14.2,65164,2.3,6.28,25.53,0.0,0.62,0.0,0.0,1.03,7.57,7.72,0.0,15.0,1
12003,Florida,Baker County,28186,48.16,1,12.5,70833,2.9,10.35,18.55,0.35,1.27,0.07,0.0,0.25,3.3,4.54,0.0,15.0,1
12007,Florida,Bradford County,27888,94.87,6,15.4,59740,3.1,11.32,22.22,0.18,0.65,0.36,0.04,0.25,4.08,5.71,0.14,12.0,1
12029,Florida,Dixie County,16952,24.04,8,23.7,47655,3.6,17.71,22.87,0.0,0.4,0.06,0.06,0.29,7.16,40.44,0.0,18.0,1
12039,Florida,Gadsden County,43642,84.52,2,21.5,46047,3.9,16.39,23.32,0.11,0.8,0.05,0.07,0.09,2.95,6.04,0.05,17.0,1
12041,Florida,Gilchrist County,18494,52.89,2,13.5,61070,3.3,15.13,16.64,0.26,0.77,0.15,0.16,0.16,4.07,23.84,0.1,12.0,1
